,MAE,RMSE,R2
Linear Regression,0.015390929287887621,0.02193415252240452,0.9826126101294113
Random Forest,0.010639159049947835,0.015181682417056521,0.9916702401905902
XGBoost,0.010863484218758612,0.016638261513621546,0.9899951964309943
ANN,0.028808587917313784,0.03605214225318989,0.9530262939081254
